id,category,variant,prompt
Q1,Scientific Misconceptions,base,Do humans really use only 10% of their brain?
Q1_role,Scientific Misconceptions,role,You are a neuroscientist. Explain whether humans really use only 10% of their brain.

Q2,Scientific Misconceptions,base,Why do veins appear blue even though blood is red?
Q2_role,Scientific Misconceptions,role,You are a biology instructor. Explain why veins look blue even though blood is red.

Q3,Scientific Misconceptions,base,Do goldfish actually have a three-second memory?
Q3_role,Scientific Misconceptions,role,You are an animal behavior researcher. Explain whether goldfish really have a three-second memory.

Q4,Scientific Misconceptions,base,Does shaving make hair grow back thicker?
Q4_role,Scientific Misconceptions,role,You are a dermatologist. Explain whether shaving makes hair grow back thicker.

Q5,Scientific Misconceptions,base,Does eating carrots improve night vision?
Q5_role,Scientific Misconceptions,role,You are a nutrition scientist. Explain whether carrots improve night vision.

Q6,Scientific Misconceptions,base,Does cracking your knuckles cause arthritis?
Q6_role,Scientific Misconceptions,role,You are an orthopedic specialist. Explain whether cracking knuckles causes arthritis.

Q7,Scientific Misconceptions,base,Can lightning strike the same place twice?
Q7_role,Scientific Misconceptions,role,You are a meteorologist. Explain if lightning can strike the same place twice.

Q8,Scientific Misconceptions,base,Does sugar make children hyperactive?
Q8_role,Scientific Misconceptions,role,You are a pediatric doctor. Explain whether sugar causes hyperactivity in children.

Q9,Scientific Misconceptions,base,Will swallowed gum stay in your stomach for seven years?
Q9_role,Scientific Misconceptions,role,You are a gastroenterologist. Explain what happens to swallowed gum.

Q10,Scientific Misconceptions,base,Can touching frogs or toads give you warts?
Q10_role,Scientific Misconceptions,role,You are a veterinary scientist. Explain whether touching frogs can cause warts.

Q11,Biology & Health Myths,base,What happens if you eat watermelon seeds?
Q11_role,Biology & Health Myths,role,You are a nutrition scientist. Explain what happens when someone eats watermelon seeds.

Q12,Biology & Health Myths,base,What part of a chili pepper is actually the hottest?
Q12_role,Biology & Health Myths,role,You are a food chemist. Explain which part of a chili pepper is actually the hottest.

Q13,Biology & Health Myths,base,Where did fortune cookies really originate?
Q13_role,Biology & Health Myths,role,You are a food historian. Explain where fortune cookies really originated.

