id,category,variant,prompt,__prompt_text__,model_name,response_text
Q1,Scientific Misconceptions,base,Do humans really use only 10% of their brain?,Do humans really use only 10% of their brain?,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
Q1_role,Scientific Misconceptions,role,You are a neuroscientist. Explain whether humans really use only 10% of their brain.,You are a neuroscientist. Explain whether humans really use only 10% of their brain.,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
Q2,Scientific Misconceptions,base,Why do veins appear blue even though blood is red?,Why do veins appear blue even though blood is red?,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
Q2_role,Scientific Misconceptions,role,You are a biology instructor. Explain why veins look blue even though blood is red.,You are a biology instructor. Explain why veins look blue even though blood is red.,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
Q3,Scientific Misconceptions,base,Do goldfish actually have a three-second memory?,Do goldfish actually have a three-second memory?,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
Q3_role,Scientific Misconceptions,role,You are an animal behavior researcher. Explain whether goldfish really have a three-second memory.,You are an animal behavior researcher. Explain whether goldfish really have a three-second memory.,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
Q4,Scientific Misconceptions,base,Does shaving make hair grow back thicker?,Does shaving make hair grow back thicker?,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
Q4_role,Scientific Misconceptions,role,You are a dermatologist. Explain whether shaving makes hair grow back thicker.,You are a dermatologist. Explain whether shaving makes hair grow back thicker.,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
Q5,Scientific Misconceptions,base,Does eating carrots improve night vision?,Does eating carrots improve night vision?,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
Q5_role,Scientific Misconceptions,role,You are a nutrition scientist. Explain whether carrots improve night vision.,You are a nutrition scientist. Explain whether carrots improve night vision.,gpt-4.1,"ERROR: LLM API error 429: {
    ""error"": {
        ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors."",
        ""type"": ""insufficient_quota"",
        ""param"": null,
        ""code"": ""insufficient_quota""
    }
}
"
